Feature,Sub-task #,Sub-task Name,Human O (h),Human ML (h),Human P (h),Human PERT (h),AI O (h),AI ML (h),AI P (h),AI PERT (h),Risk,Status
Feature 1: Support any positive algebraic expression,1a,Identify algebraic bases during closed-form scan and skip rational cases,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,completed
Feature 1: Support any positive algebraic expression,1b,Register unique real algebraic bases in RootRegistry with stable symbols,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,1c,Re-run substitution so repeated algebraic bases reuse the same symbol,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,2a,Normalize minimal-polynomial coefficients into integer JSON form,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,completed
Feature 1: Support any positive algebraic expression,2b,Serialize isolating-interval bounds for each registered real root,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,completed
Feature 1: Support any positive algebraic expression,2c,Emit ordered aux_roots entries in the POLAR payload,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,3a,Define AlgRootEntry storage for polynomial and interval metadata,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,completed
Feature 1: Support any positive algebraic expression,3b,Parse poly_coeffs and interval rationals from JSON into GMP values,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,3c,Validate aux-root parse failures and registry ordering assumptions,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,completed
Feature 1: Support any positive algebraic expression,4a,Build generic polynomial evaluation from coefficient vectors,0.5,1,1.4,0.98,0.25,0.5,0.7,0.49,Low,completed
Feature 1: Support any positive algebraic expression,4b,Add unsupported-degree guard and failure path for large polynomials,0.5,0.75,1.25,0.79,0.25,0.4,0.6,0.41,Low,completed
Feature 1: Support any positive algebraic expression,5a,Allocate CHC variables for registered algebraic roots in stable order,0.75,1.5,2.2,1.49,0.4,0.75,1.1,0.75,Medium,completed
